1,review,sentiment
2,"This is one of those unfortunate films that suffered an even more sad, unfortunate death at the box office. I saw this film at a local art cinema,in revival form,shortly after it tanked in mainstream cinemas. It certainly deserves to be approached a second time (or even a third). Sandra B. takes it to the limit by doing spoken word & taking on some well known songs in this piece (her version of Hank William's 'I'm So Lonesome I Could Cry' could easily move you to tears). Maybe someday, audiences will be ready to take this film a bit more seriously (but not without some well placed laughs,too). The film moves at a brisk pace (thanks to some nice editing),so that some viewers will not find it stale & boring. Perhaps a revival is just down the pipeline.",positive
3,"Okay maybe it was because I happen to be in Yangchun China when I saw this movie. Maybe it was because I finally had something on TV I could understand or at least read the subtitles, or maybe it was just funny. Whatever it was this movie was worth the time.<br /><br />I had just arrived for my foot and head massage when they gave me the remote so I could watch TV. Usually I would turn the darn thing off but I stumbled upon this crazy movie and got hooked.<br /><br />The plot if you could call it a plot sort of revolves around a cooking competition and sort of is a love story and the food in this movie is the real star. If you like Iron Chef and many of the other cooking shows currently in the reality TV mode, then you will love the scenes with food in this movie.<br /><br />It goes fast and the subtitles are so fast you better be up on speed reading for this one. However the action is mostly slapstick so you don't always have to read the entire subtitle to get the idea.<br /><br />The main actress is lovely eye candy and the main actor isn't bad to look at either. They are both worth watching. Finally if you have some time to kill and want a good laugh this isn't a bad choice for both.<br /><br />I don't speak a word of Chinese but I was totally able to understand the cultural humor of this film. For those who do speak Chinese maybe it is even better. Overall I give this an 8 out of 10 and currently I am even looking to find a copy to have while I stay in China, and keep for when I come back home, it will be a nice reminder for me of my time in Yangchun and a silly afternoon at the massage salon watching a silly movie.",positive
4,"Although I love this movie, I can barely watch it, it is so real. So, I put it on tonight and hid behind my bank of computers. I remembered it vividly, but just wanted to see if I could find something I hadn't seen before........I didn't: that's because it's so real to me.<br /><br />Another ""user"" wrote the ages of the commentators should be shown with their summary. I'm all for that ! It's absolutely obvious that most of these people who've made comments about ""Midnight Cowboy"" may not have been born when it was released. They are mentioning other movies Jon Voight and Dustin Hoffman have appeared in, at a later time. I'll be just as ruinously frank: I am 82-years-old. If you're familiar with some of my other comments, you'll be aware that I was a professional female-impersonator for 60 of those years, and also have appeared in film - you'd never recognize me, even if you were familiar with my night-club persona. Do you think I know a lot about the characters in this film ? YOU BET I DO !!....<br /><br />....and am not the least bit ashamed. If you haven't run-into some of them, it's your loss - but, there's a huge chance you have, but just didn't know it. So many moms, dads, sons and daughters could surprise you. It should be no secret MANY actors/actresses have emerged from the backgrounds of ""Midnight Cowboy"". Who is to judge ? I can name several, current BIG-TIME stars who were raised on the seedy streets of many cities, and weren't the least bit damaged by their time spent there. I make no judgment, because these are humans, just as we all are - love, courage, kindness, compassion, intelligence, humility: you name the attributes, they are all there, no matter what the package looks like.<br /><br />The ""trivia"" about Hoffman actually begging on the streets to prove he could do the role of ""Ratzo"" is a gem - he can be seen driving his auto all around Los Angeles - how do you think he gets his input? I can also name lots of male-stars who have stood on the streets and cruised the bars for money. Although the nightclub I last worked in for 26 years was world-famous and legit, I can also name some HUGE stars that had to be constantly chased out our back-street, looking to make a pick-up.<br /><br />This should be no surprise today, although it's definitely action in Hollywood and other cities, large and small. Wake-up and smell the roses. They smell no less sweet because they are of a different hue.<br /><br />Some of the ""users"" thought ""Joe Buck"" had been molested by his grandma. Although I saw him in her bed with a boyfriend, I didn't find any incidence of that. Believe-it-or-not, kids haven't ALWAYS had their own rooms - because that is a must today should tell you something kinda kinky may be going-on in the master-bedroom. Whose business? Hoffman may have begged for change on the streets, but some of the ""users"" point-out that Jon Voight was not a major star for the filming of ""Midnight Cowboy"" - his actual salary would surprise you. I think he was robbed ! No one can doubt the clarity he put into his role, nor that it MADE him a star for such great work as ""Deliverance"". He defined a potent man who had conquered his devils and was the better for it: few people commented he had been sodomized in this movie. The end of the 60s may have been one of the first films to be so open, but society has always been hip.<br /><br />I also did not find any homosexuality between ""Ratzo"" and ""Joe"" - they were clearly opposites, unappealing to one another. They found a much purely higher relationship - true friendship. If you didn't understand that at the end of the movie, then you've wasted your time. ""Joe's"" bewilderment, but unashamed devotion was apparent. Yes, Voight deserved an Oscar for this role - one that John Wayne could never pull-off, and he was as handsome in his youth.<br /><br />Hoffman is Hoffman - you expect fireworks. He gave them superbly. Wayne got his Oscar. Every character in this film was beautifully defined - if you don't think they are still around, you are mistaken. ""The party"" ? - attend some of the ""raves"" younger people attend.....if you can get in. Look at the lines of people trying to get into the hot clubs - you'll see every outrageous personality.<br /><br />Brenda Viccaro was the epitome of society's sleek women who have to get down to the nitty-gritty at times. If you were shocked by her brilliant acting, thinking ""this isn't real"", look at today's ""ladies"" who live on the brink of disrepute....and are admired for it.<br /><br />The brutality ""Joe"" displayed in robbing the old guy, unfortunately, is also a part of life. You don't have to condone it, but it's not too much different than any violence. ""Joe"" pointedly named his purpose - in that situation, I'd have handed-over the money quicker than he asked for it. That's one of the scenes that makes this movie a break-through, one which I do not watch. I get heartbroken for both.....<br /><br />John Schlesinger certainly must have been familiar with this sordidness to direct this chillingly beautiful eye-opener- Waldo Salt didn't write from clairvoyance. Anyone who had any part of getting it to the screen must have realized they were making history, and should be proud for the honesty of it. Perhaps ""only in America"" can we close our eyes to unpleasant situations, while other movie-makers make no compunction in presenting it to the public. Not looking doesn't mean it isn't there - give me the truth every time. Bravo! to all......",positive
5,"A man arrives in a strange, beautiful, sterile city where no-one feels any emotion and obsesses instead about interior design. The essential sameness of his days is reminiscent of 'Groundhog Day'; the strange passages in and out of this world more remind one of 'Being John Malkovich'. But truly, this is a Scandanavian movie, a piece of self-satire that is also Scandanavian in style: the tone is austere, and even the most fantastic scenes are played straight, daring you to laugh at the absurdity. To my mind, the combination isn't wholly successful: there aren't enough genuine laughs to compensate for the difficulties of taking the piece as pure drama. It certainly is original; perhaps my problem is that the world that it satirises is not one that I recognise. Perhaps I should move to Scandanavia!",positive
6,"I'm sitting around going through movie listings and not really seeing anything I want to see. My appetite keeps saying, ""Something like BROADCAST NEWS."" That's what I want. Something smart and funny, with adult ideas and great acting and writing, and a directorial style that doesn't call attention to itself. This may well be Hurt's best performance (is this or THE BIG CHILL, to my mind): however eccentric, Hurt is smart, and to play an unintelligent person without making sure -- wink wink -- the audience knows -- wink wink -- hey, I'M not stupid... well, that's fine acting right there. Hunter is note-perfect, and Albert Brooks is a revelation. (And he can read and sing at the same time!) Great, great work.<br /><br />",positive
7,"I really enjoyed this. I got it thinking it was going to be a documentary, but it revealed itself as a good piece of tongue in cheek fun.<br /><br />I think this has been well done, pretty much an extended TV show into a film, but due to the characters or rather original actors willingness to have fun and be made fun off helps this work in a great old style Innocent way.<br /><br />If you are a fan of the original TV series then i am sure you will enjoy this.<br /><br />Q",positive
8,"some funny lines are all what makes this movie bearable. the camera tv-movie-like, the acting poor (julie davis is more than disapointing) and the directing amateurish and / or loveless. but i can understand that no one had fun to realise the overconstructed and trivial script.",negative
9,"CONTEXT is everything when one goes to rate a movie. When rating this movie one has to consider the time in which it was made. We didn't really know WHAT the inside of the EARTH was in those days so you can't rag on the movie too much for the plot (based on a much older book). For the era, this was top notch special effects and the production quality was great. I watched this movie in a masterfully restored HD master. For the time the makeup and effects almost make the guys in the rubber suits look plausible as a monster-thing. This is pure movie cheese complete with bad rubber suits, models, and creepy costumes. AWESOME. PS Doug McClure ROCKS!",positive
10,"This is what happens when you try to adapt a play from the theater. Look at the end of the picture, totally theatrical.<br /><br />With a reminiscent of Les liaisons dangereuses the final steam-less speech try to make us think that the whole (and deep) theme of this matter was the manhood. Who cares by this point? It was about manipulation. And so the audience feels after this movie has ended.<br /><br />Young directors: A play is told with the words more than actions. A film is the opposite most of the times.<br /><br />And I'm not talking about the gay theme, overly exploited without a point ('cause there's no explanation of this topic considering the so called ""philosophic"" or presumptuous basis) to the level that this film should have been called Grand Gay",negative
11,"This is not horror, as the first part was: This is (""campy"") light and humorous entertainment. Like in so many sequels, the action starts right away with no explanations. But there's boobs, so I don't complain. And real boobs that is. If I understand correctly, those are quite rare today amongst the teenage girls in U.S. of A. Which brings to my mind the fact that the main actress here is Pamela ""Bruce's sister"" Springsteen.<br /><br />This cannot be thought without the first movie, so I compare this to it. Again there is too small clothing (mainly pants) and funny hair, it's not hard to tell what decade this film is made in. Again there is really strange characters, this time even more visibly ""pathological"" ones. Especially the personnel of the camp. It's like some mental rehabilitation summer camp. People are older: Most of the actors must be at least 25, but I think they're supposed to be 16 or something. Some ""methods"" used by the Evil Dyke are quite unpleasant. Actually this movie don't have much in common with the first part, and this is worse than it in every way.",negative
